Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes,Observation_Year,Observation_Month,Observation_Day
254,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,0.38,22.0,Hatchling,Male,2015-08-20,Philippines,Ponds,Critically Endangered,Melissa Mendoza,Power someone both receive around wall city indeed opportunity.,2015,8,20
255,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.56,437.1,Adult,Female,2010-08-27,Uganda,Reservoirs,Least Concern,Meghan White,Single particularly television they road through low maintain thought key.,2010,8,27
256,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.03,10.4,Adult,Unknown,2011-05-05,Liberia,Forest Swamps,Vulnerable,Matthew Smith,Should office north within prove full mission red believe product eat generation put his stuff next.,2011,5,5
257,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.51,241.3,Adult,Unknown,2011-09-14,Cuba,Estuaries,Vulnerable,Amy Schneider MD,System thank avoid man drive wife anyone development poor idea dog learn soon large task language.,2011,9,14
258,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.53,233.8,Adult,Unknown,2005-07-28,Pakistan,Reservoirs,Vulnerable,Jonathan Valdez,Idea along near stay social white point.,2005,7,28
259,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.06,162.8,Subadult,Unknown,2022-08-09,Malaysia (Borneo),Estuarine Systems,Data Deficient,Kristina Pena,Wear guy approach development lawyer nice people list price respond box service develop game stop who.,2022,8,9
260,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.86,107.4,Adult,Male,2020-03-31,Australia,Gorges,Least Concern,Joseph Park,To manage state score.,2020,3,31
261,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.87,160.3,Subadult,Female,2006-03-16,Iran (historic),Lakes,Vulnerable,David Gonzalez,Us hotel lead sit response blue increase unit study.,2006,3,16
262,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.1,59.1,Adult,Male,2009-06-29,Philippines,Rivers,Critically Endangered,Patricia Hayes,What care material morning any very stuff lot meet TV concern official room campaign hold over third.,2009,6,29
263,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.56,47.1,Juvenile,Female,2009-09-12,Cuba,Freshwater Wetlands,Critically Endangered,Janice Petty,Event white wife laugh card include record security federal reduce team.,2009,9,12
264,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.58,75.8,Hatchling,Male,2025-01-03,Costa Rica,Estuaries,Vulnerable,Taylor Chen,Decide research rather TV car.,2025,1,3
265,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.0,438.8,Subadult,Male,2011-09-09,Tanzania,Reservoirs,Least Concern,Vanessa Thompson,Reason follow break good lose number project individual security subject experience suggest space mission agent certainly prove customer.,2011,9,9
266,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.05,11.9,Subadult,Male,2009-09-27,Cameroon,Forest Swamps,Vulnerable,Candace Mitchell,Chair artist six daughter must grow laugh pattern push no difference positive.,2009,9,27
267,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.82,223.0,Adult,Unknown,2006-02-03,Venezuela,Large Rivers,Critically Endangered,Jorge Robles,Realize another high indicate small.,2006,2,3
268,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.08,418.9,Juvenile,Female,2014-06-10,Malaysia,Estuaries,Least Concern,Tracy Brown,Data than team kitchen difficult plant remember happy open school cultural right.,2014,6,10
269,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.85,151.8,Adult,Female,2007-07-23,Cambodia,Swamps,Critically Endangered,Jerry Lucero,Cost community message help investment news.,2007,7,23
270,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.31,84.8,Adult,Unknown,2025-12-06,Philippines,Rivers,Critically Endangered,Kevin Scott,Letter visit always up others similar personal successful feeling.,2025,12,6
271,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.68,286.7,Juvenile,Unknown,2010-03-09,South Africa,Marshes,Least Concern,Krista Jones,Moment whatever minute skill city myself idea glass third professional.,2010,3,9
272,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.08,82.8,Adult,Female,2021-07-26,Guinea,Shaded Forest Rivers,Critically Endangered,Edward Clements,Most you statement wonder across protect knowledge toward.,2021,7,26
273,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,5.18,848.2,Adult,Unknown,2007-02-01,Tanzania,Marshes,Least Concern,Lisa Haley,High someone box either rich agency might side.,2007,2,1
274,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.67,118.9,Adult,Unknown,2024-11-16,Mexico,Swamps,Least Concern,Katie Tucker,Together court message way cold what Mrs.,2024,11,16
275,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.19,541.7,Adult,Female,2018-09-18,Australia,Mangroves,Least Concern,Austin Santiago,Ten interest billion Mrs reflect wish simple position vote section child.,2018,9,18
276,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.69,125.4,Adult,Unknown,2016-10-09,Congo Basin Countries,Forest Rivers,Endangered,Gary Miller,Concern edge audience start treat imagine later.,2016,10,9
277,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.28,15.4,Subadult,Unknown,2025-01-03,Ghana,Forest Swamps,Vulnerable,Eugene Price,Movement political peace series.,2025,1,3
278,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.25,253.9,Subadult,Unknown,2009-12-30,Colombia,Flooded Savannas,Critically Endangered,Mercedes Jones,Blood skin feeling beat she join house produce listen mouth carry.,2009,12,30
279,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,1.78,96.7,Juvenile,Male,2014-01-18,Colombia,Coastal Lagoons,Vulnerable,Robert Gardner,Fear thought whole term possible whatever action themselves center among.,2014,1,18
280,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.51,23.7,Adult,Female,2013-02-24,Congo (DRC),Forest Swamps,Data Deficient,Jennifer Kelley,Fight security tough gas include position mention claim determine.,2013,2,24
281,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.76,48.7,Juvenile,Female,2012-12-19,Indonesia (Papua),Rivers,Least Concern,Cheyenne White,System surface usually yes leave near fact attack better rise maintain former campaign pretty beyond people too fish.,2012,12,19
282,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.33,69.2,Adult,Male,2007-09-17,Papua New Guinea,Freshwater Wetlands,Least Concern,Luis Torres,Charge note space when collection finish size Republican political everybody growth quickly former lose knowledge simple main.,2007,9,17
283,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.02,71.7,Subadult,Male,2016-03-10,Philippines,Ponds,Critically Endangered,Matthew Miller,Teach cause Mrs enjoy though.,2016,3,10
284,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.31,21.1,Subadult,Unknown,2024-10-08,Central African Republic,Slow Streams,Data Deficient,Bernard Smith,Place spend often shoulder defense already end thus music president chance.,2024,10,8
285,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.76,125.2,Adult,Unknown,2016-06-28,Laos,Oxbow Lakes,Critically Endangered,Steven Lawrence,Card may bed hair action draw who word range serious cell city not.,2016,6,28
286,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.29,83.8,Subadult,Unknown,2019-08-01,Papua New Guinea,Rivers,Least Concern,Shelby Thomas,Voice American seven discussion enough doctor protect military social hold truth thing always possible billion why.,2019,8,1
287,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.89,144.5,Adult,Unknown,2021-10-10,Indonesia (Papua),Swamps,Least Concern,Denise Harmon,Name community president half president structure might heavy.,2021,10,10
288,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.18,15.7,Adult,Male,2023-10-30,Guinea,Small Streams,Vulnerable,Kelli Gomez,Main lot page maybe catch close baby poor deep.,2023,10,30
289,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.2,16.9,Adult,Unknown,2019-07-08,Central African Republic,Forest Swamps,Data Deficient,Jack Love,Produce increase form box push look opportunity positive improve during.,2019,7,8
290,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.47,30.9,Juvenile,Female,2023-08-14,Australia,Gorges,Least Concern,Kevin Taylor,Always occur argue election conference when out nor affect rest product exist beat.,2023,8,14
291,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.36,20.2,Adult,Male,2009-03-12,Congo (DRC),Forest Swamps,Data Deficient,Willie Dillon,Detail improve central old should perhaps member cold rate.,2009,3,12
292,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.96,637.2,Subadult,Male,2025-10-30,Indonesia,Estuaries,Least Concern,Linda Jones,History board dark teacher mean information change benefit live pass.,2025,10,30
293,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,3.06,180.7,Adult,Unknown,2006-07-13,Congo Basin Countries,Forest Rivers,Endangered,Richard Gordon,Behavior process top much ability visit question issue inside.,2006,7,13
294,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.11,14.6,Subadult,Unknown,2015-08-27,Congo (DRC),Forest Swamps,Data Deficient,Melissa Patterson,Smile high open scientist seven recent best care local discussion teacher exist theory.,2015,8,27
295,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.15,187.8,Adult,Male,2013-08-28,Liberia,Swamps,Critically Endangered,Colin Fletcher,Official brother according.,2013,8,28
296,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.64,25.0,Adult,Male,2008-10-03,Ghana,Forest Swamps,Vulnerable,Melissa Stewart,Blood international one end movie north partner.,2008,10,3
297,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.48,104.1,Adult,Female,2019-07-03,Philippines,Ponds,Critically Endangered,Jennifer Harris DDS,Lot have never effect fill general relationship save talk process.,2019,7,3
298,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,1.63,169.1,Juvenile,Unknown,2014-01-27,South Africa,Marshes,Least Concern,Jillian Lyons,Beyond meet skill song.,2014,1,27
299,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.78,153.8,Adult,Unknown,2024-01-10,Mali,Lakes,Least Concern,Melinda Williams,Who accept before certainly unit itself ask develop bag also his worker pass minute represent.,2024,1,10
300,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.79,101.5,Subadult,Male,2016-12-19,Mexico,Swamps,Least Concern,Theresa Wilkins,Keep cut prevent sound experience almost outside middle discuss college already dream a church.,2016,12,19
301,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.35,23.0,Adult,Unknown,2013-05-15,Congo (DRC),Forest Swamps,Data Deficient,Penny Gomez MD,Customer address region try near risk next on girl.,2013,5,15
302,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.62,437.6,Adult,Unknown,2012-09-17,India,Coastal Wetlands,Least Concern,Courtney Mccarty,Upon offer end imagine blood authority family water sort what then spend offer reason whom none.,2012,9,17
303,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.61,119.8,Adult,Unknown,2015-05-07,Cuba,Swamps,Critically Endangered,Nina Ali,Race to television loss election him small detail.,2015,5,7
304,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.18,76.2,Adult,Male,2011-05-25,Cambodia,Slow Rivers,Critically Endangered,Rebecca Gutierrez,Might act strategy eat behavior purpose start away use live government.,2011,5,25
305,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.06,75.7,Subadult,Male,2012-01-10,Cameroon,Forest Rivers,Endangered,Debra Valentine,Material current save their deal dark economic peace choose blood.,2012,1,10
306,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.92,150.7,Adult,Male,2019-06-25,Cambodia,Swamps,Critically Endangered,Megan Alvarado,According tax when summer he firm together thing off ever consumer.,2019,6,25
307,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.12,15.5,Adult,Unknown,2005-09-13,Central African Republic,Forest Swamps,Data Deficient,Kayla Sanders,Campaign moment institution vote allow girl team.,2005,9,13
308,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.47,25.1,Subadult,Female,2008-01-02,Central African Republic,Forest Swamps,Data Deficient,Joyce Martinez,Least ready activity decision ok foot party employee nature down likely party hand material decision.,2008,1,2
309,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.51,43.1,Juvenile,Male,2017-09-14,Papua New Guinea,Rivers,Least Concern,Jacqueline Dickerson,Late number without rather sport result sound new task cultural.,2017,9,14
310,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.65,449.3,Juvenile,Female,2025-08-03,Papua New Guinea,Estuaries,Least Concern,Nancy Kennedy,Computer matter yet.,2025,8,3
311,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.26,83.5,Adult,Unknown,2008-11-25,Indonesia (Papua),Rivers,Least Concern,Kelly Le,Feel no nothing huge real art sport live picture last free guess night use.,2008,11,25
312,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.34,43.5,Juvenile,Female,2015-12-03,Papua New Guinea,Freshwater Wetlands,Least Concern,Alejandro Martinez,Current office power company sister great pull maintain say threat high expert place certain cold space front piece occur.,2015,12,3
313,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.51,59.1,Juvenile,Unknown,2010-03-02,Cuba,Swamps,Critically Endangered,Andrea Martin,Finish president report painting house thought.,2010,3,2
314,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.79,33.9,Juvenile,Male,2019-02-14,Congo Basin Countries,Forest Rivers,Endangered,Teresa Adkins,Whole including contain age road product wait red bag cold.,2019,2,14
315,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.33,658.3,Adult,Unknown,2021-04-30,Malaysia,Tidal Rivers,Least Concern,Arthur Johns,Approach side model you billion peace base use hope.,2021,4,30
316,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.67,48.8,Adult,Male,2018-12-24,Philippines,Freshwater Marshes,Critically Endangered,Oscar Ramos,Capital stuff agreement professional team foot live window.,2018,12,24
317,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.94,142.5,Adult,Unknown,2020-05-08,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Denise Wallace,Computer our piece player nor model police finally girl.,2020,5,8
318,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.9,121.2,Juvenile,Unknown,2017-02-04,Venezuela,Flooded Savannas,Critically Endangered,Regina Ramos,Include choose action model serve carry expert movement reach man sense federal she something.,2017,2,4
319,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.81,138.5,Adult,Female,2012-11-11,Indonesia (Borneo),Estuarine Systems,Data Deficient,Rebecca Kelley,In night house clear say hope.,2012,11,11
320,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.97,181.1,Adult,Male,2016-08-28,Cambodia,Swamps,Critically Endangered,Dennis Henderson,Might son party really even possible mother especially.,2016,8,28
321,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.73,104.6,Adult,Unknown,2013-03-15,Indonesia (Papua),Rivers,Least Concern,Barry Taylor,Pm pay evening performance could affect anyone movement.,2013,3,15
322,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.73,45.3,Subadult,Unknown,2013-12-06,Philippines,Ponds,Critically Endangered,Brian Adams,Road do character management game find son your.,2013,12,6
323,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.22,193.4,Subadult,Unknown,2006-03-03,Sri Lanka,Marshes,Vulnerable,Rick Rivera,Argue simply author like.,2006,3,3
324,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.3,218.0,Subadult,Female,2018-10-09,USA (Florida),Mangroves,Vulnerable,Ryan Roth,Business should eat.,2018,10,9
325,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.8,218.0,Subadult,Unknown,2020-08-31,Venezuela,Large Rivers,Critically Endangered,Jessica Rojas,Current same behind.,2020,8,31
326,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.28,73.1,Adult,Unknown,2005-05-06,Papua New Guinea,Freshwater Wetlands,Least Concern,Christine Price,View city rock seat near business loss federal growth appear project wind door.,2005,5,6
327,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.75,42.5,Juvenile,Female,2017-11-23,Australia,Billabongs,Least Concern,Adrian Bauer,Build smile across among situation little other he become citizen.,2017,11,23
328,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.0,130.3,Adult,Female,2024-08-26,Malaysia (Borneo),Estuarine Systems,Data Deficient,Luke Galvan,Art green child movie blue maintain first next popular girl through run again help right economy.,2024,8,26
329,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.72,33.5,Juvenile,Male,2020-03-08,Congo Basin Countries,Forest Rivers,Endangered,Michael Hansen,Recent couple cost girl run every story trial never attention choice fast enjoy happen.,2020,3,8
330,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.23,83.7,Adult,Male,2017-06-09,Indonesia (Borneo),Estuarine Systems,Data Deficient,Mark Gray,Third people hair per fly as whose standard couple.,2017,6,9
331,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1.86,50.8,Juvenile,Male,2024-07-29,Papua New Guinea,Freshwater Wetlands,Least Concern,Pamela Moore,Follow political book model at strong candidate them.,2024,7,29
332,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.57,40.7,Juvenile,Male,2022-02-21,Philippines,Rivers,Critically Endangered,John Garcia,Politics home majority perhaps opportunity any determine responsibility actually TV pretty up story life.,2022,2,21
333,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.33,82.0,Adult,Unknown,2011-04-15,Indonesia (Papua),Lakes,Least Concern,Heather Paul,State some around pay more same strong back democratic.,2011,4,15
334,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.81,493.9,Subadult,Female,2020-06-17,Australia,Estuaries,Least Concern,Ashley Hall,Country moment eat personal condition see indeed black police.,2020,6,17
335,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,1.36,45.7,Juvenile,Female,2009-02-15,Chad,Lakes,Least Concern,Jimmy Ortega,Coach Congress husband front citizen your.,2009,2,15
336,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,0.87,30.9,Juvenile,Male,2017-06-16,Malaysia (Borneo),Estuarine Systems,Data Deficient,Harold Edwards,Suddenly include plan step food drive nation heart nearly.,2017,6,16
337,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.94,71.6,Juvenile,Unknown,2021-02-28,Cuba,Swamps,Critically Endangered,Heather Chavez,A alone expect administration career three according worker Democrat fire sign.,2021,2,28
338,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.81,127.1,Adult,Female,2023-10-26,Cambodia,Swamps,Critically Endangered,Samantha Ellison,News unit choice also green catch happen old do specific begin hundred truth.,2023,10,26
339,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.13,74.7,Adult,Unknown,2017-01-28,Thailand,Swamps,Critically Endangered,Misty Mcguire,Major together reflect standard believe politics also space high.,2017,1,28
340,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.59,90.2,Subadult,Male,2019-05-15,Indonesia (Papua),Swamps,Least Concern,Tammy Cook,Indicate test thank dinner present own activity since him fight American music change.,2019,5,15
341,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.05,188.0,Adult,Female,2011-02-01,Colombia,Mangroves,Vulnerable,Connie Williams,Wife send offer bed it skill challenge from live seat nature energy huge its recently.,2011,2,1
342,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.32,230.9,Adult,Unknown,2021-10-25,Guinea,Shaded Forest Rivers,Critically Endangered,Karen Gonzalez,Present cultural pattern save east author since food.,2021,10,25
343,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.28,97.8,Adult,Female,2010-02-22,Mauritania,Oases,Least Concern,Ann Powers,Half couple general pretty show college glass start sort perhaps key.,2010,2,22
344,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.95,170.0,Subadult,Female,2017-04-21,Côte d'Ivoire,Shaded Forest Rivers,Critically Endangered,Cynthia Jennings,Serious table both approach we unit than star add really born.,2017,4,21
345,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.49,305.4,Adult,Unknown,2011-12-12,Colombia,Flooded Savannas,Critically Endangered,Alexander Clark,Deep national seek nature performance yeah reason property heavy town money eight art customer recent even let.,2011,12,12
346,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,0.61,56.4,Hatchling,Female,2011-06-08,Pakistan,Lakes,Vulnerable,Andrea Guerrero,Ten affect test power discuss herself with between firm term mother cost may.,2011,6,8
347,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.1,87.2,Adult,Male,2014-03-27,Congo Basin Countries,Swamps,Endangered,Timothy Smith,Two figure majority season adult range green few you without.,2014,3,27
348,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.8,149.4,Subadult,Unknown,2023-02-11,Nepal,Reservoirs,Vulnerable,Antonio Scott,Three spring ahead never exactly charge today prevent because him whether partner personal dinner drive.,2023,2,11
349,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.92,166.7,Adult,Female,2020-09-17,Vietnam,Slow Rivers,Critically Endangered,Wesley Browning,Last capital present ok range dark catch read together travel involve.,2020,9,17
350,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,2.04,168.7,Juvenile,Male,2008-05-19,Kenya,Reservoirs,Least Concern,Patricia Douglas,True fish newspaper we brother fish they risk she they increase.,2008,5,19
351,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.24,32.3,Hatchling,Male,2006-04-05,Indonesia (Papua),Swamps,Least Concern,Jeremy Peck,Charge could capital ago worry pay.,2006,4,5
352,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.9,9.0,Juvenile,Female,2010-07-18,Congo (DRC),Forest Swamps,Data Deficient,Lisa Carlson,Reach grow read live maybe painting Republican hear system man case.,2010,7,18
353,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.59,87.1,Subadult,Unknown,2016-09-07,Mexico,Rivers,Least Concern,Andrew Duran,Understand wear development provide dark daughter computer.,2016,9,7
354,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.88,20.5,Juvenile,Male,2005-03-15,Australia,Gorges,Least Concern,Jessica Williamson,Term thought into simply part station result hour voice occur movie political region.,2005,3,15
355,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.92,139.4,Adult,Unknown,2006-05-07,Cuba,Swamps,Critically Endangered,Brian Bryant,There early Mrs worker always.,2006,5,7
356,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.09,13.9,Subadult,Female,2021-04-01,Congo (DRC),Slow Streams,Data Deficient,Phillip Estes,Fact huge fight still leave.,2021,4,1
357,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.64,129.9,Adult,Female,2021-06-05,Gabon,Swamps,Endangered,Louis Brown,Tough less position bed may conference one thus national hotel food agent law to time think bed.,2021,6,5
358,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,0.65,97.9,Hatchling,Male,2024-10-20,Venezuela,Flooded Savannas,Critically Endangered,Matthew Dawson,Responsibility but box last guy model himself.,2024,10,20
359,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.5,97.3,Subadult,Female,2014-03-12,Indonesia (Papua),Lakes,Least Concern,Kayla Herring,Nearly analysis color friend the television class.,2014,3,12
360,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.15,5.4,Hatchling,Male,2025-11-12,Sierra Leone,Small Streams,Vulnerable,Randy Williams,Finally shoulder land phone brother capital.,2025,11,12
361,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.87,168.0,Adult,Female,2016-11-12,Guinea,Shaded Forest Rivers,Critically Endangered,Marcus King,Marriage material space part management describe process law kind over according.,2016,11,12
362,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.02,92.5,Juvenile,Unknown,2017-07-09,Colombia,Coastal Lagoons,Vulnerable,Diana Fuller,Any challenge president already take project study fear turn.,2017,7,9
363,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,3.28,217.2,Adult,Unknown,2008-07-19,Ghana,Swamps,Critically Endangered,Jason Thompson,Particularly reality organization skin concern lay often use behavior federal.,2008,7,19
364,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.46,41.8,Juvenile,Unknown,2025-10-09,Indonesia (Papua),Swamps,Least Concern,James Jones,Successful assume likely business teacher forget including decide decade around number without more because.,2025,10,9
365,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.28,114.0,Adult,Unknown,2016-06-20,Ghana,Shaded Forest Rivers,Critically Endangered,Lisa French,Interview summer employee offer perhaps until.,2016,6,20
366,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.16,558.3,Subadult,Unknown,2025-08-03,India,Estuaries,Least Concern,Kathleen Daniel,Manage conference participant remember without ability agency personal brother summer son yourself increase.,2025,8,3
367,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.08,88.4,Adult,Female,2005-11-03,Congo Basin Countries,Swamps,Endangered,Justin Walsh,Political real effort attack.,2005,11,3
368,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.78,696.0,Adult,Male,2011-11-02,Philippines,Estuaries,Least Concern,Joshua Wang,Rate game right pattern ahead compare form full.,2011,11,2
369,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.28,19.0,Adult,Female,2021-11-20,Congo (DRC),Forest Swamps,Data Deficient,Sydney Robles,Loss physical throughout Mr friend six including sea strong.,2021,11,20
